SampleID	RawEXTENDScores	NormEXTENDScores
PNOC008.02	90442.8522719554	0
PNOC008.03	98150.4326603333	0.680306587055693
PNOC008.04	93630.9979456697	0.281400438663139
PNOC008.05	95961.152865825	0.487070656963058
PNOC008.06	93972.326035509	0.31152762983911
PNOC008.08	96660.4018307191	0.548789595052455
PNOC008.09	96366.6268570946	0.52285966119536
PNOC008.10	92244.7950287553	0.159047777016598
PNOC008.11	95984.0246377923	0.489089425025536
PNOC008.12	92724.6233524188	0.201399637496239
PNOC008.13	100591.216125418	0.895741390872644
PNOC008.14	98935.7690104959	0.749623994743784
PNOC008.15	96319.9142375742	0.518736589990519
PNOC008.16	100575.871563309	0.89438700906254
PNOC008.17	101772.421226646	1
PNOC008.18	99763.6588653588	0.822697370983756
PNOC008.19	101091.131159509	0.939866197040528
PNOC008.20	90590.0357040064	0.0129910884200087
PNOC008.21	98107.4921973076	0.676516463777619
